Schema Analysis Results
==================================================
Analysis Date: 2025-08-03 02:49:01
Cutoff Date: 2025-06-04 02:47:56

Schemas to migrate to /dev/sda1 (>60 days):
  alisa_FLINT_TT15_2_d6bf0081_AcrossMTST_20250410153726 - 1.56 MB - 114 days old
  alisa_FLINT_TT15_3_d6bf0081_AcrossMTST_20250410154233 - 1.06 MB - 114 days old
  alisa_FLINT_TT15_0_d6bf0081_TST_20250410162013 - 288.00 KB - 114 days old
  alisa_FLINT_TT15_1_d6bf0081_TST_20250410162037 - 288.00 KB - 114 days old
  alisa_FLINT_TT15_0_5fbfa306_0410Read_20250410164939 - 31.67 MB - 114 days old
  maguser_FLINT_A_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_A_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_A_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_A_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_A_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_A_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_B_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_C_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_D_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_E_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_F_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_G_5_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_0_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_1_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_2_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_3_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_4_na_na_20250410170600 - 118.22 MB - 114 days old
  maguser_FLINT_H_5_na_na_20250410170600 - 118.22 MB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R08P4_20250411100055 - 1.59 MB - 113 days old
  alisa_FLINT_TT15_2_81709fc4_TST_20250411113141 - 16.00 KB - 113 days old
  alisa_FLINT_TT15_3_81709fc4_TST_20250411113251 - 16.00 KB - 113 days old
  alisa_FLINT_TT15_4_81709fc4_TST_20250411113412 - 16.00 KB - 113 days old
  mingyi_FLINT_TT28_2_5fbfa306_stdDOE_20250411114245 - 2.33 MB - 113 days old
  mingyi_FLINT_TT28_3_5fbfa306_stdDOE_20250411115151 - 1.08 MB - 113 days old
